Time,Output
-11.8245,0.6588801
-11.824,0.658891609
-11.8235,0.658903959
-11.823,0.658917131
-11.8225,0.658931051
-11.822,0.658945611
-11.8215,0.658960707
-11.821,0.65897627
-11.8205,0.658992264
-11.82,0.659008632
-11.8195,0.659025261
-11.819,0.659042036
-11.8185,0.65905889
-11.818,0.659075786
-11.8175,0.659092701
-11.817,0.659109572
-11.8165,0.659126264
-11.816,0.659142613
-11.8155,0.65915849
-11.815,0.659173816
-11.8145,0.659188559
-11.814,0.6592027
-11.8135,0.659216157
-11.813,0.659228747
-11.8125,0.659240251
-11.812,0.659250509
-11.8115,0.659259518
-11.811,0.659267383
-11.8105,0.659274197
-11.81,0.659280008
-11.8095,0.659284844
-11.809,0.659288715
-11.8085,0.659291625
-11.808,0.659293578
-11.8075,0.659294596
-11.807,0.659294737
-11.8065,0.659294109
-11.806,0.659292804
-11.8055,0.659290857
-11.805,0.659288296
-11.8045,0.659285139
-11.804,0.659281376
-11.8035,0.65927702
-11.803,0.659272124
-11.8025,0.65926673
-11.802,0.65926085
-11.8015,0.659254478
-11.801,0.659247601
-11.8005,0.659240239
-11.8,0.659232473
-11.7995,0.659224405
-11.799,0.659216094
-11.7985,0.659207536
-11.798,0.659198729
-11.7975,0.659189675
-11.797,0.659180337
-11.7965,0.659170702
-11.796,0.659160822
-11.7955,0.659150744
-11.795,0.659140493
-11.7945,0.659130104
-11.794,0.65911962
-11.7935,0.659109081
-11.793,0.659098516
-11.7925,0.659087932
-11.792,0.659077338
-11.7915,0.659066771
-11.791,0.659056306
-11.7905,0.659046019
-11.79,0.659035933
-11.7895,0.65902601
-11.789,0.659016198
-11.7885,0.659006467
-11.788,0.658996832
-11.7875,0.658987323
-11.787,0.658977981
-11.7865,0.658968841
-11.786,0.658959907
-11.7855,0.658951173
-11.785,0.658942643
-11.7845,0.658934321
-11.784,0.65892624
-11.7835,0.658918456
-11.783,0.658911015
-11.7825,0.658903953
-11.782,0.658897286
-11.7815,0.658890967
-11.781,0.658884936
-11.7805,0.658879135
-11.78,0.658873462
-11.7795,0.658867779
-11.779,0.658861968
-11.7785,0.658855982
-11.778,0.658849857
-11.7775,0.658843664
-11.777,0.658837462
-11.7765,0.658831313
-11.776,0.658825313
-11.7755,0.658819539
-11.775,0.658814013
-11.7745,0.658808736
-11.774,0.658803687
-11.7735,0.658798838
-11.773,0.658794212
-11.7725,0.658789886
-11.772,0.658785931
-11.7715,0.658782391
-11.771,0.658779331
-11.7705,0.658776852
-11.77,0.658775048
-11.7695,0.658773987
-11.769,0.658773687
-11.7685,0.658774142
-11.768,0.658775335
-11.7675,0.658777224
-11.767,0.658779773
-11.7665,0.658782982
-11.766,0.658786895
-11.7655,0.658791553
-11.765,0.658796917
-11.7645,0.658802895
-11.764,0.658809414
-11.7635,0.658816428
-11.763,0.658823891
